!SIL	SIL
矿石	kw^II OM^MM;3 N^MF s^MI EM^MM;6 k^FF
码头	m^II aM^MF;5 t^MI M6w^FF;4
研	j^II iM^MM;4 n^FF
研究	j^II iM^MM;4 n^MF g^MI M6w^FF;3
研究生	j^II iM^MM;4 n^MF g^MI M6w^MF;3 s^MI M6^MM;1 N^FF
研究部	j^II iM^MM;4 n^MF g^MI M6w^MF;3 b^MI ow^FF;6
研讨	j^II iM^MM;4 n^MF t^MI ow^FF;2
研讨会	j^II iM^MM;4 n^MF t^MI ow^MF;2 w^MI uMj^FF;2
破	p^II OM^FF;3
破例	p^II OM^MF;3 l^MI M6j^FF;6
破口	p^II OM^MF;3 h^MI M6w^FF;2
破坏	p^II OM^MF;3 w^MI aMj^FF;6
破坏活动	p^II OM^MF;3 w^MI aMj^MF;6 w^MI uM^MM;6 t^MF d^MI uM^MM;6 N^FF
破天荒	p^II OM^MF;3 t^MI iM^MM;1 n^MF f^MI OM^MM;1 N^FF
破案	p^II OM^MF;3 N^MI OM^MM;3 n^FF
破获	p^II OM^MF;3 w^MI OM^MM;6 k^FF
破裂	p^II OM^MF;3 l^MI iM^MM;6 t^FF
硕士	s^II EM^MM;6 k^MF s^MI iM^FF;6
硬	N^II aM^MM;6 N^FF
硬币	N^II aM^MM;6 N^MF b^MI M6j^FF;6
硬物	aM^II;6 N^MF m^MI M6^MM;6 t^FF
硬笔	N^II aM^MM;6 N^MF b^MI M6^MM;1 t^FF
硬笔书法	N^II aM^MM;6 N^MF b^MI M6^MM;1 t^MF s^MI yM^MF;1 f^MI aM^MM;3 t^FF
确	k^II OM^MM;3 k^FF
确保	k^II OM^MM;3 k^MF b^MI ow^FF;2
确信	k^II OM^MM;3 k^MF s^MI M9M^MM;3 n^FF
确定	k^II OM^MM;3 k^MF d^MI iM^MM;6 N^FF
确实	k^II OM^MM;3 k^MF s^MI M6^MM;6 t^FF
确无	k^II OM^MM;3 k^MF m^MI ow^FF;4
确认	k^II OM^MM;3 k^MF j^MI iM^MM;6 N^FF
碍于	N^II OMj^MF;6 j^MI yM^FF;1
碎	s^II M9y^FF;3
碗公	w^II uM^MM;2 n^MF g^MI uM^MM;1 N^FF
碧	b^II iM^MM;1 k^FF
碰	p^II uM^MM;3 N^FF
碰上	p^II uM^MM;3 N^MF s^MI M9M^MM;5 N^FF
碰到	p^II uM^MM;3 N^MF d^MI ow^FF;3
碰头	p^II uM^MM;3 N^MF t^MI M6w^FF;4
碰巧	p^II uM^MM;3 N^MF h^MI aMw^FF;2
碰撞	p^II uM^MM;3 N^MF dz^MI OM^MM;6 N^FF
碰碰	p^II uM^MM;3 N^MF p^MI uM^MM;3 N^FF
碰碰车	p^II uM^MM;3 N^MF p^MI uM^MM;3 N^MF ts^MI EM^FF;1
碰碰运气	p^II uM^MM;3 N^MF p^MI uM^MM;3 N^MF w^MI M6^MM;6 n^MF h^MI ej^FF;3
碰运气	p^II uM^MM;3 N^MF w^MI M6^MM;6 n^MF h^MI ej^FF;3
碰面	p^II uM^MM;3 N^MF m^MI iM^MM;6 n^FF
磅	b^II OM^MM;6 N^FF
磡	h^II M6^MM;3 m^FF
磨	m^II OM^FF;4
磨灭	m^II OM^MF;4 m^MI iM^MM;6 t^FF
示威	s^II iM^MF;6 w^MI M6j^FF;1
示范	s^II iM^MF;6 f^MI aM^MM;6 n^FF
礼	l^II M6j^FF;5
礼品	l^II M6j^MF;5 b^MI M6^MM;2 n^FF
礼服	l^II M6j^MF;5 f^MI uM^MM;6 k^FF
礼物	l^II M6j^MF;5 m^MI M6^MM;6 t^FF
礼貌	l^II M6j^MF;5 m^MI aMw^FF;6
社	s^II EM^FF;5
社会	s^II EM^MF;5 w^MI uMj^FF;2
社会保障	s^II EM^MF;5 w^MI uMj^MF;2 b^MI ow^MF;2 dz^MI M9M^MM;3 N^FF
社会福利	s^II EM^MF;5 w^MI uMj^MF;2 f^MI uM^MM;1 k^MF l^MI ej^FF;6
社会群体	s^II EM^MF;3 w^MI uMj^MF;2 kw^MI M6^MM;4 n^MF t^MI M6j^FF;2
社区	s^II EM^MF;5 k^MI M9y^FF;1
社团	s^II EM^MF;5 t^MI yM^MM;4 n^FF
社工	s^II EM^MF;5 g^MI uM^MM;1 N^FF
社群	s^II EM^MF;5 kw^MI M6^MM;4 n^FF
社论	s^II EM^MF;5 l^MI M9M^MM;6 n^FF
社评	s^II EM^MF;5 p^MI iM^MM;4 N^FF
祇	dz^II iM^FF;2
祈求	k^II ej^MF;4 k^MI M6w^FF;4
祐	j^II M6w^FF;6
祖国	dz^II ow^MF;2 g^MI OM^MM;3 k^FF
祝	dz^II uM^MM;1 k^FF
祝寿	dz^II uM^MM;1 k^MF s^MI M6w^FF;6
祝捷	dz^II uM^MM;1 k^MF dz^MI iM^MM;3 t^FF
祝祷	dz^II uM^MM;1 k^MF t^MI ow^FF;2
祝贺	dz^II uM^MM;1 k^MF h^MI OM^FF;6
神	s^II M6^MM;4 n^FF
神情	s^II M6^MM;4 n^MF ts^MI iM^MM;4 N^FF
神秘	s^II M6^MM;4 n^MF b^MI ej^FF;3
神经	s^II M6^MM;4 n^MF g^MI iM^MM;1 N^FF
神经科	s^II M6^MM;4 n^MF g^MI iM^MM;1 N^MF f^MI OM^FF;1
祥	ts^II M9M^MM;4 N^FF
票	p^II iw^FF;3
票价	p^II iw^MF;3 g^MI aM^FF;3
票房	p^II iw^MF;3 f^MI OM^MM;4 N^FF
票选	p^II iw^MF;3 s^MI yM^MM;2 n^FF
禁不住	g^II M6^MM;3 m^MF b^MI M6^MM;1 t^MF dz^MI yM^FF;6
禁令	g^II M6^MM;3 m^MF l^MI iM^MM;6 N^FF
禁核	g^II M6^MM;3 m^MF h^MI M6^MM;6 t^FF
福	f^II uM^MM;1 k^FF
福乐	f^II uM^MM;1 k^MF l^MI OM^MM;6 k^FF
福利	f^II uM^MM;1 k^MF l^MI ej^FF;6
福建	f^II uM^MM;1 k^MF g^MI iM^MM;3 n^FF
福建省	f^II uM^MM;1 k^MF g^MI iM^MM;3 n^MF s^MI aM^MM;2 N^FF
福建省委	f^II uM^MM;1 k^MF g^MI iM^MM;3 n^MF s^MI aM^MM;2 N^MF w^MI M6j^FF;2
福星	f^II uM^MM;1 k^MF s^MI iM^MM;1 N^FF
离	l^II ej^FF;4
离去	l^II ej^MF;4 h^MI M9y^FF;3
离场	l^II ej^MF;4 ts^MI M9M^MM;4 N^FF
离奇	l^II ej^MF;4 k^MI ej^FF;4
离婚	l^II ej^MF;4 f^MI M6^MM;1 n^FF
离开	l^II ej^MF;4 h^MI OMj^FF;1
离校	l^II ej^MF;4 h^MI aMw^FF;6
离谱	l^II ej^MF;4 p^MI ow^FF;2
禽畜	k^II M6^MM;4 m^MF ts^MI uM^MM;1 k^FF
禾	w^II OM^FF;4
秀	s^II M6w^FF;3
秀发	s^II M6w^MF;3 f^MI aM^MM;3 t^FF
私人	s^II iM^MF;1 j^MI M6^MM;4 n^FF
私吞	s^II iM^MF;1 t^MI M6^MM;1 n^FF
私吞公款	s^II iM^MF;1 t^MI M6^MM;1 n^MF g^MI uM^MM;1 N^MF f^MI uM^MM;2 n^FF
私家	s^II iM^MF;1 g^MI aM^FF;1
私家车	s^II iM^MF;1 g^MI aM^MF;1 ts^MI EM^FF;1
私营	s^II iM^MF;1 j^MI iM^MM;4 N^FF
秋意	ts^II M6w^MF;1 j^MI iM^FF;3
种	dz^II uM^MM;2 N^FF
种因	dz^II uM^MM;2 N^MF j^MI M6^MM;1 n^FF
种族	dz^II uM^MM;2 N^MF dz^MI uM^MM;6 k^FF
种植	dz^II uM^MM;3 N^MF dz^MI iM^MM;6 k^FF
种种	dz^II uM^MM;2 N^MF dz^MI uM^MM;2 N^FF
种类	dz^II uM^MM;2 N^MF l^MI M9y^FF;6
种菜	dz^II uM^MM;3 N^MF ts^MI OMj^FF;3
种颜色	dz^II uM^MM;2 N^MF N^MI aM^MM;4 n^MF s^MI iM^MM;1 k^FF
科	f^II OM^FF;1
科威特	f^II OM^MF;1 w^MI M6j^MF;1 d^MI M6^MM;6 k^FF
科学	f^II OM^MF;1 h^MI OM^MM;6 k^FF
科学馆	f^II OM^MF;1 h^MI OM^MM;6 k^MF g^MI uM^MM;2 n^FF
科幻	f^II OM^MF;1 w^MI aM^MM;6 n^FF
科技	f^II OM^MF;1 g^MI ej^FF;6
科技人才	f^II OM^MF;1 g^MI ej^MF;6 j^MI M6^MM;4 n^MF ts^MI OMj^FF;4
科技领域	f^II OM^MF;1 g^MI ej^MF;6 l^MI iM^MM;5 N^MF w^MI iM^MM;6 k^FF
科班	f^II OM^MF;1 b^MI aM^MM;1 n^FF
科目	f^II OM^MF;1 m^MI uM^MM;6 k^FF
秘书	b^II ej^MF;3 s^MI yM^FF;1
秘书长	b^II ej^MF;3 s^MI yM^MF;1 dz^MI M9M^MM;2 N^FF
秘密	b^II ej^MF;3 m^MI M6^MM;6 t^FF
秘诀	b^II ej^MF;3 k^MI yM^MM;3 t^FF
秘鲁	b^II ej^MF;3 l^MI ow^FF;5
租	dz^II ow^FF;1
租下	dz^II ow^MF;1 h^MI aM^FF;6
租住	dz^II ow^MF;1 dz^MI yM^FF;6
租出	dz^II ow^MF;1 ts^MI M9M^MM;1 t^FF
租客	dz^II ow^MF;1 h^MI aM^MM;3 k^FF
租用	dz^II ow^MF;1 j^MI uM^MM;6 N^FF
租车	dz^II ow^MF;1 ts^MI EM^FF;1
租过	dz^II ow^MF;1 gw^MI OM^FF;3
租金	dz^II ow^MF;1 g^MI M6^MM;1 m^FF
秩序	d^II iM^MM;6 t^MF dz^MI M9y^FF;6
积	dz^II iM^MM;1 k^FF
积为	dz^II iM^MM;1 k^MF w^MI M6j^FF;4
积分	dz^II iM^MM;1 k^MF f^MI M6^MM;1 n^FF
积怨	dz^II iM^MM;1 k^MF j^MI yM^MM;3 n^FF
积极	dz^II iM^MM;1 k^MF g^MI iM^MM;6 k^FF
积蓄	dz^II iM^MM;1 k^MF ts^MI uM^MM;1 k^FF
称	ts^II iM^MM;1 N^FF
称许	ts^II iM^MM;1 N^MF h^MI M9y^FF;2
称霸	ts^II iM^MM;1 N^MF b^MI aM^FF;3
移去	j^II iM^MF;4 h^MI M9y^FF;3
移民	j^II iM^MF;4 m^MI M6^MM;4 n^FF
程	ts^II iM^MM;4 N^FF
程序	ts^II iM^MM;4 N^MF dz^MI M9y^FF;6
程度	ts^II iM^MM;4 N^MF d^MI ow^FF;6
稍事	s^II aMw^MF;2 s^MI iM^FF;6
稍后	s^II aMw^MF;2 h^MI M6w^FF;6
税	s^II M9y^FF;3
税制	s^II M9y^MF;3 dz^MI M6j^FF;3
税务	s^II M9y^MF;3 m^MI ow^FF;6
税局	s^II M9y^MF;3 g^MI uM^MM;2 k^FF
税收	s^II M9y^MF;3 s^MI M6w^FF;1
税款	s^II M9y^MF;3 f^MI uM^MM;2 n^FF
税率	s^II M9y^MF;3 l^MI M9M^MM;2 t^FF
税项	s^II M9y^MF;3 h^MI OM^MM;6 N^FF
税额	s^II M9y^MF;3 N^MI aM^MM;2 k^FF
稳	w^II M6^MM;2 n^FF
稳定	w^II M6^MM;2 n^MF d^MI iM^MM;6 N^FF
穆	m^II uM^MM;6 k^FF
穆斯	m^II uM^MM;6 k^MF s^MI iM^FF;1
穆斯林	m^II uM^MM;6 k^MF s^MI iM^MF;1 l^MI M6^MM;4 m^FF
穆萨	m^II uM^MM;6 k^MF s^MI aM^MM;3 t^FF
究竟	g^II M6w^MF;3 g^MI iM^MM;2 N^FF
穷	k^II uM^MM;4 N^FF
穷困	k^II uM^MM;4 N^MF kw^MI M6^MM;3 n^FF
空	h^II uM^MM;1 N^FF
空中	h^II uM^MM;1 N^MF dz^MI uM^MM;1 N^FF
空中巴士	h^II uM^MM;1 N^MF dz^MI uM^MM;1 N^MF b^MI aM^MF;1 s^MI iM^FF;2
空军	h^II uM^MM;1 N^MF gw^MI M6^MM;1 n^FF
空姐	h^II uM^MM;1 N^MF dz^MI EM^FF;2
空档	h^II uM^MM;1 N^MF d^MI OM^MM;3 N^FF
空气	h^II uM^MM;1 N^MF h^MI ej^FF;3
空白	h^II uM^MM;1 N^MF b^MI aM^MM;6 k^FF
空肚	h^II uM^MM;1 N^MF t^MI ow^FF;5
空间	h^II uM^MM;1 N^MF g^MI aM^MM;1 n^FF
空隙	h^II uM^MM;1 N^MF kw^MI iM^MM;1 k^FF
穿	ts^II yM^MM;1 n^FF
穿插	ts^II yM^MM;1 n^MF ts^MI aM^MM;3 p^FF
穿梭	ts^II yM^MM;1 n^MF s^MI OM^FF;1
穿著	ts^II yM^MM;1 n^MF dz^MI M9M^MM;6 k^FF
穿越	ts^II yM^MM;1 n^MF j^MI yM^MM;6 t^FF
穿过	ts^II yM^MM;1 n^MF gw^MI OM^FF;3
突出	d^II M6^MM;6 t^MF ts^MI M9M^MM;1 t^FF
突显	d^II M6^MM;6 t^MF h^MI iM^MM;2 n^FF
突然	d^II M6^MM;6 t^MF j^MI iM^MM;4 n^FF
突破	d^II M6^MM;6 t^MF p^MI OM^FF;3
突袭	d^II M6^MM;6 k^MF dz^MI aM^MM;6 p^FF
突飞	d^II M6^MM;6 t^MF f^MI ej^FF;1
突飞猛进	d^II M6^MM;6 t^MF f^MI ej^MF;1 m^MI aM^MM;5 N^MF dz^MI M9M^MM;3 n^FF
窃	s^II iM^MM;3 t^FF
窃案	s^II iM^MM;3 t^MF N^MI OM^MM;3 n^FF
窄	dz^II aM^MM;3 k^FF
窈窕	m^II iw^MF;5 t^MI iw^FF;5
窗口	ts^II M9M^MM;1 N^MF h^MI M6w^FF;2
窗台	ts^II M9M^MM;1 N^MF t^MI OMj^FF;4
窗外	ts^II M9M^MM;1 N^MF N^MI OMj^FF;6
窗框	ts^II M9M^MM;1 N^MF kw^MI aM^MM;1 N^FF
窗门	ts^II M9M^MM;1 N^MF m^MI uM^MM;4 n^FF
窝	w^II OM^FF;1
窦	d^II M6w^FF;6
窿	l^II uM^MM;1 N^FF
立	l^II aM^MM;6 p^FF
立体	l^II aM^MM;6 p^MF t^MI M6j^FF;2
立刻	l^II aM^MM;6 p^MF h^MI M6^MM;1 k^FF
立即	l^II aM^MM;6 p^MF dz^MI iM^MM;1 k^FF
立即行动	l^II aM^MM;6 p^MF dz^MI iM^MM;1 k^MF h^MI M6^MM;4 N^MF d^MI uM^MM;6 N^FF
立场	l^II aM^MM;6 p^MF ts^MI M9M^MM;4 N^FF
立好	l^II M6^MM;6 p^MF h^MI ow^FF;2
立方	l^II aM^MM;6 p^MF f^MI OM^MM;1 N^FF
立方米	l^II aM^MM;6 p^MF f^MI OM^MM;1 N^MF m^MI M6j^FF;5
立案	l^II aM^MM;6 p^MF OM^MI;3 n^FF
立法	l^II aM^MM;6 p^MF f^MI aM^MM;3 t^FF
立法会	l^II aM^MM;6 p^MF f^MI aM^MM;3 t^MF w^MI uMj^FF;2
立法局	l^II aM^MM;6 p^MF f^MI aM^MM;3 t^MF g^MI uM^MM;2 k^FF
立法权	l^II aM^MM;6 p^MF f^MI aM^MM;3 t^MF k^MI yM^MM;4 n^FF
立法院	l^II aM^MM;6 p^MF f^MI aM^MM;3 t^MF j^MI yM^MM;2 n^FF
站	dz^II aM^MM;6 m^FF
站下	dz^II aM^MM;6 m^MF h^MI aM^FF;6
站不住	dz^II aM^MM;6 m^MF b^MI M6^MM;1 t^MF dz^MI yM^FF;6
站不住脚	dz^II aM^MM;6 m^MF b^MI M6^MM;1 t^MF dz^MI yM^MF;6 g^MI M9M^MM;3 k^FF
站内	dz^II aM^MM;6 m^MF l^MI OMj^FF;6
站稳	dz^II aM^MM;6 m^MF w^MI M6^MM;2 n^FF
站立	dz^II aM^MM;6 m^MF l^MI aM^MM;6 p^FF
站网	dz^II aM^MM;6 m^MF m^MI OM^MM;5 N^FF
站起	dz^II aM^MM;6 m^MF h^MI ej^FF;2
竞	ts^II aM^MM;2 n^FF
竞争	g^II iM^MM;3 N^MF dz^MI M6^MM;1 N^FF
竞争力	g^II iM^MM;3 N^MF dz^MI M6^MM;1 N^MF l^MI iM^MM;6 k^FF
竞相	g^II iM^MM;3 N^MF s^MI M9M^MM;1 N^FF
竞选	g^II iM^MM;6 N^MF s^MI yM^MM;2 n^FF
竞选活动	g^II iM^MM;6 N^MF s^MI yM^MM;2 n^MF w^MI uM^MM;6 t^MF d^MI uM^MM;6 N^FF
竟	g^II iM^MM;2 N^FF
竟敢	g^II iM^MM;2 N^MF g^MI M6^MM;2 m^FF
竟然	g^II iM^MM;2 N^MF j^MI iM^MM;4 n^FF
章	dz^II M9M^MM;1 N^FF
章孝严	dz^II M9M^MM;1 N^MF h^MI aMw^MF;3 j^MI iM^MM;4 m^FF
竣工	dz^II M9M^MM;3 n^MF g^MI uM^MM;1 N^FF
童	t^II uM^MM;4 N^FF
童工	t^II uM^MM;4 N^MF g^MI uM^MM;1 N^FF
童身	t^II uM^MM;4 N^MF s^MI M6^MM;1 n^FF
竭尽	k^II iM^MM;3 t^MF dz^MI M9M^MM;6 n^FF
竭尽所能	k^II iM^MM;3 t^MF dz^MI M9M^MM;6 n^MF s^MI OM^MF;2 n^MI M6^MM;4 N^FF
端	d^II yM^MM;1 n^FF
端午	d^II yM^MM;1 n^MF m^FI;5
端的	d^II yM^MM;1 n^MF d^MI iM^MM;1 k^FF
笑	s^II iw^FF;3
笑容	s^II iw^MF;3 j^MI uM^MM;4 N^FF
笑容满面	s^II iw^MF;3 j^MI uM^MM;4 N^MF m^MI uM^MM;5 n^MF m^MI iM^MM;6 n^FF
笔	b^II M6^MM;1 t^FF
笔下	b^II M6^MM;1 t^MF h^MI aM^FF;6
笔立	b^II M6^MM;1 t^MF l^MI aM^MM;6 p^FF
笔者	b^II M6^MM;1 t^MF dz^MI EM^FF;2
符	f^II uM^FF;4
符合	f^II uM^MF;4 h^MI M6^MM;6 p^FF
符合中国	f^II uM^MF;4 h^MI M6^MM;6 p^MF dz^MI uM^MM;1 N^MF g^MI OM^MM;3 k^FF
符合标准	f^II uM^MF;4 h^MI M6^MM;6 p^MF b^MI iw^MF;1 dz^MI M9M^MM;2 n^FF
符标	f^II uM^MF;4 b^MI iw^FF;1
第一	d^II M6j^MF;6 j^MI M6^MM;1 t^FF
第一位	d^II M6j^MF;6 j^MI M6^MM;1 t^MF w^MI M6j^FF;6
第一句	d^II M6j^MF;4 j^MI M6^MM;1 t^MF g^MI M9y^FF;3
第一届	d^II M6j^MF;6 j^MI M6^MM;1 t^MF g^MI aMj^FF;3
第一排	d^II M6j^MF;6 j^MI M6^MM;1 t^MF p^MI aMj^FF;4
第一次	d^II M6j^MF;6 j^MI M6^MM;1 t^MF ts^MI iM^FF;3
第一部	d^II M6j^MF;6 j^MI M6^MM;1 t^MF b^MI ow^FF;6
第三	d^II M6j^MF;6 s^MI aM^MM;1 m^FF
第三个	d^II M6j^MF;6 s^MI aM^MM;1 m^MF g^MI OM^FF;3
第三产业	d^II M6j^MF;6 s^MI aM^MM;1 m^MF ts^MI aM^MM;2 n^MF j^MI iM^MM;6 p^FF
第三天	d^II M6j^MF;6 s^MI aM^MM;1 m^MF t^MI iM^MM;1 n^FF
第三盘	d^II M6j^MF;6 s^MI aM^MM;1 m^MF p^MI uM^MM;4 n^FF
第三者	d^II M6j^MF;6 s^MI aM^MM;1 m^MF dz^MI EM^FF;2
第三轮	d^II M6j^MF;6 s^MI aM^MM;1 m^MF l^MI M9M^MM;4 n^FF
第三项	d^II M6j^MF;6 s^MI aM^MM;1 m^MF h^MI OM^MM;6 N^FF
第二	d^II M6j^MF;6 j^MI iM^FF;6
第二个	d^II M6j^MF;6 j^MI iM^MF;6 g^MI OM^FF;3
第二期	d^II M6j^MF;6 j^MI iM^MF;6 k^MI ej^FF;4
第二步	d^II M6j^MF;6 j^MI iM^MF;6 b^MI ow^FF;6
第五	d^II M6j^MF;6 m^FI;5
第五个	d^II M6j^MF;6 m^MI;5 g^MI OM^FF;3
第五位	d^II M6j^MF;6 m^MI;5 w^MI M6j^FF;6
第五号	d^II M6j^MF;6 m^MI;5 h^MI ow^FF;6
第五场	d^II M6j^MF;6 m^MI;5 ts^MI M9M^MM;4 N^FF
第五集	d^II M6j^MF;6 m^MI;5 dz^MI aM^MM;6 p^FF
第八	d^II M6j^MF;6 b^MI aM^MM;3 t^FF
第八届	d^II M6j^MF;6 b^MI aM^MM;3 t^MF g^MI aMj^FF;3
第八届全国政协	d^II M6j^MF;6 b^MI aM^MM;3 t^MF g^MI aMj^MF;3 ts^MI yM^MM;4 n^MF gw^MI OM^MM;3 k^MF dz^MI iM^MM;3 N^MF h^MI iM^MM;3 p^FF
第六	d^II M6j^MF;6 l^MI uM^MM;6 k^FF
第六场	d^II M6j^MF;6 l^MI uM^MM;6 k^MF ts^MI M9M^MM;4 N^FF
第十	d^II M6j^MF;6 s^MI M6^MM;6 p^FF
第十五	d^II M6j^MF;6 s^MI M6^MM;6 p^MF m^FI;5
第十五届	d^II M6j^MF;6 s^MI M6^MM;6 p^MF m^MI;5 g^MI aMj^FF;3
第十六	d^II M6j^MF;6 s^MI M6^MM;6 p^MF l^MI uM^MM;6 k^FF
第四	d^II M6j^MF;6 s^MI ej^FF;3
第四名	d^II M6j^MF;6 s^MI ej^MF;3 m^MI iM^MM;4 N^FF
第日	d^II M6j^MF;6 j^MI M6^MM;6 t^FF
笼	l^II uM^MM;4 N^FF
笼罩	l^II uM^MM;4 N^MF dz^MI aMw^FF;3
等	d^II M6^MM;2 N^FF
等于	d^II M6^MM;2 N^MF j^MI yM^FF;1
等候	d^II M6^MM;2 N^MF h^MI M6w^FF;6
等到	d^II M6^MM;2 N^MF d^MI ow^FF;3
等同	d^II M6^MM;2 N^MF t^MI uM^MM;4 N^FF
等同于	d^II M6^MM;2 N^MF t^MI uM^MM;4 N^MF j^MI yM^FF;1
等待	d^II M6^MM;2 N^MF d^MI OMj^FF;6
等等	d^II M6^MM;2 N^MF d^MI M6^MM;2 N^FF
筒	t^II uM^MM;2 N^FF
答	d^II aM^MM;3 p^FF
答允	b^II aM^MM;3 p^MF w^MI M6^MM;5 n^FF
答复	d^II aM^MM;3 p^MF f^MI uM^MM;1 k^FF
答应	d^II aM^MM;3 p^MF j^MI iM^MM;3 N^FF
答案	d^II aM^MM;3 p^MF N^MI OM^MM;3 n^FF
答辩	d^II aM^MM;3 p^MF b^MI iM^MM;6 n^FF
策	ts^II aM^MM;3 k^FF
策划	ts^II aM^MM;3 k^MF w^MI aM^MM;6 k^FF
策略	ts^II aM^MM;3 k^MF l^MI M9M^MM;6 k^FF
策略性	ts^II aM^MM;3 k^MF l^MI M9M^MM;6 k^MF s^MI iM^MM;3 N^FF
筲箕	s^II aMw^MF;1 g^MI ej^FF;1
筹	ts^II M6w^FF;4
筹备	ts^II M6w^MF;4 b^MI ej^FF;6
筹委	ts^II M6w^MF;4 w^MI M6j^FF;2
筹委会	ts^II M6w^MF;4 w^MI M6j^MF;2 w^MI uMj^FF;2
筹码	ts^II M6w^MF;4 m^MI aM^FF;5
筹集	ts^II M6w^MF;4 dz^MI aM^MM;6 p^FF
签	ts^II iM^MM;1 m^FF
签发	ts^II iM^MM;1 m^MF f^MI aM^MM;3 t^FF
签名	ts^II iM^MM;1 m^MF m^MI EM^MM;2 N^FF
签字	ts^II iM^MM;1 m^MF dz^MI iM^FF;6
签字仪式	ts^II iM^MM;1 m^MF dz^MI iM^MF;6 j^MI iM^MF;4 s^MI iM^MM;1 k^FF
签约	ts^II iM^MM;1 m^MF j^MI M9M^MM;3 k^FF
签署	ts^II iM^MM;1 m^MF ts^MI yM^FF;5
签订	ts^II iM^MM;1 m^MF d^MI iM^MM;6 N^FF
简单	g^II aM^MM;2 n^MF d^MI aM^MM;1 n^FF
简陋	g^II aM^MM;2 n^MF l^MI M6w^FF;6
箍	k^II uM^FF;1
算	s^II yM^MM;3 n^FF
算了	s^II yM^MM;3 n^MF l^MI iw^FF;5
算作	s^II yM^MM;3 n^MF dz^MI OM^MM;3 k^FF
算学	s^II yM^MM;3 n^MF h^MI OM^MM;6 k^FF
算数	s^II yM^MM;3 n^MF s^MI ow^FF;3
算是	s^II yM^MM;3 n^MF s^MI iM^FF;6
算机	s^II yM^MM;3 n^MF g^MI ej^FF;1
管	g^II uM^MM;2 n^FF
管住	g^II uM^MM;2 n^MF dz^MI yM^FF;6
管制	g^II uM^MM;2 n^MF dz^MI M6j^FF;3
管制区	g^II uM^MM;2 n^MF dz^MI M6j^MF;3 k^MI M9y^FF;1
管区	g^II uM^MM;2 n^MF k^MI M9y^FF;1
管有	g^II uM^MM;2 n^MF j^MI M6w^FF;5
管治	g^II uM^MM;2 n^MF dz^MI iM^FF;6
管理	g^II uM^MM;2 n^MF l^MI ej^FF;5
管理员	g^II uM^MM;2 n^MF l^MI ej^MF;5 j^MI yM^MM;4 n^FF
管理局	g^II uM^MM;2 n^MF l^MI ej^MF;5 g^MI uM^MM;6 k^FF
管理层	g^II uM^MM;2 n^MF l^MI ej^MF;5 ts^MI M6^MM;4 N^FF
管理费	g^II uM^MM;2 n^MF l^MI ej^MF;5 f^MI M6j^FF;3
管用	g^II uM^MM;2 n^MF j^MI uM^MM;6 N^FF
管闲事	g^II uM^MM;2 n^MF h^MI aM^MM;4 n^MF s^MI iM^FF;6
篇	p^II iM^MM;1 n^FF
篇幅	p^II iM^MM;1 n^MF f^MI uM^MM;1 k^FF
篇文章	p^II iM^MM;1 n^MF m^MI M6^MM;4 n^MF dz^MI M9M^MM;1 N^FF
篡改	s^II aM^MM;3 n^MF g^MI OMj^FF;2
篮板	l^II aM^MM;4 m^MF b^MI aM^MM;2 n^FF
篮板球	l^II aM^MM;4 m^MF b^MI aM^MM;2 n^MF k^MI M6w^FF;4
篮球	l^II aM^MM;4 m^MF k^MI M6w^FF;4
篮球场	l^II aM^MM;4 m^MF k^MI M6w^MF;4 ts^MI M9M^MM;4 N^FF
篷	f^II uM^MM;4 N^FF
簷	s^II iM^MM;4 m^FF
籐	t^II M6^MM;4 N^FF
米	m^II M6j^FF;5
米兰	m^II M6j^MF;5 l^MI aM^MM;4 n^FF
米加	m^II M6j^MF;5 g^MI aM^FF;1
米粉	m^II M6j^MF;5 f^MI M6^MM;2 n^FF
类似	l^II M9y^MF;6 ts^MI iM^FF;5
类别	l^II M9y^MF;6 b^MI iM^MM;6 t^FF
类动物	l^II M9y^MF;6 d^MI uM^MM;6 N^MF m^MI M6^MM;6 t^FF
类型	l^II M9y^MF;6 j^MI iM^MM;4 N^FF
粉	f^II M6^MM;2 n^FF
粉红	f^II M6^MM;2 n^MF h^MI uM^MM;4 N^FF
粉红色	f^II M6^MM;2 n^MF h^MI uM^MM;4 N^MF s^MI iM^MM;1 k^FF
粉面	f^II M6^MM;2 n^MF m^MI iM^MM;6 n^FF
粒	n^II M6^MM;1 p^FF
粗略	ts^II ow^MF;1 l^MI M9M^MM;6 k^FF
粗鲁	ts^II ow^MF;1 l^MI ow^FF;5
粽	dz^II uM^MM;2 N^FF
精于	dz^II iM^MM;1 N^MF j^MI yM^FF;1
精力	dz^II iM^MM;1 N^MF l^MI iM^MM;6 k^FF
精密	dz^II iM^MM;1 N^MF m^MI M6^MM;6 t^FF
精神	dz^II iM^MM;1 N^MF s^MI M6^MM;4 n^FF
精通	dz^II iM^MM;1 N^MF t^MI uM^MM;1 N^FF
精采	dz^II iM^MM;1 N^MF ts^MI OMj^FF;2
糖尿	t^II OM^MM;4 N^MF l^MI iw^FF;6
糖尿病	t^II OM^MM;4 N^MF l^MI iw^MF;6 b^MI EM^MM;6 N^FF
糟透	dz^II ow^MF;1 t^MI M6w^FF;3
系	h^II M6j^FF;6
系上	h^II M6j^MF;2 s^MI M9M^MM;6 N^FF
